iSeq042_DNAamplicons			
Sample_ID	R1_file_name	R2_file_name	Amplicon_products
Puku	01-Puku-IGF2_S42_L001_R1_001.fastq.gz	01-Puku-IGF2_S42_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
Sandy	02-Sandy-IGF2_S43_L001_R1_001.fastq.gz	02-Sandy-IGF2_S43_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
Sheila	03-Sheila-IGF2_S44_L001_R1_001.fastq.gz	03-Sheila-IGF2_S44_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
190320_FG_WSG2	04-19320-FG-WSG2-IGF2_S45_L001_R1_001.fastq.gz	04-19320-FG-WSG2-IGF2_S45_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
190320_PY01	05-19320-MJ-WSG2-1-IGF2_S46_L001_R1_001.fastq.gz	05-19320-MJ-WSG2-1-IGF2_S46_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
030620_FG_WSG1	06-03620FG-WSG1-IGF2_S47_L001_R1_001.fastq.gz	06-03620FG-WSG1-IGF2_S47_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
030620_PY01	07-030620PY01-IGF2_S48_L001_R1_001.fastq.gz	07-030620PY01-IGF2_S48_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
030720_FG_SDR1	08-3720FGSDR1-IGF2_S49_L001_R1_001.fastq.gz	08-3720FGSDR1-IGF2_S49_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
030720_PY01	09-030720PY01-IGF2_S50_L001_R1_001.fastq.gz	09-030720PY01-IGF2_S50_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
140720_FG_BB1	10-14720FGBB1-IGF2_S51_L001_R1_001.fastq.gz	10-14720FGBB1-IGF2_S51_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
140720_PY01	11-140720PY01-IGF2_S52_L001_R1_001.fastq.gz	11-140720PY01-IGF2_S52_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
150720_FR_BB1	12-15720FRBB1-IGF2_S53_L001_R1_001.fastq.gz	12-15720FRBB1-IGF2_S53_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
150720_PY01	13-150720PY01-IGF2_S54_L001_R1_001.fastq.gz	13-150720PY01-IGF2_S54_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
280720_FG_SDR1	14-28720FGSDR1-IGF2_S55_L001_R1_001.fastq.gz	14-28720FGSDR1-IGF2_S55_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
280720_PY01	15-28720PYSDR1-1-IGF2_S56_L001_R1_001.fastq.gz	15-28720PYSDR1-1-IGF2_S56_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
040820_FG_BB1	16-4820FGBB1-IGF2_S57_L001_R1_001.fastq.gz	16-4820FGBB1-IGF2_S57_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
040820_PY01	17-4820FPYBB1-1-IGF2_S58_L001_R1_001.fastq.gz	17-4820FPYBB1-1-IGF2_S58_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
120820_FG_WSG2	18-12820FGWSG2-IGF2_S59_L001_R1_001.fastq.gz	18-12820FGWSG2-IGF2_S59_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
