iSeq042_DNAamplicons			
Sample_ID	R1_file_name	R2_file_name	Amplicon_products
120820_PY01	19-12820WSGPYM2-1-IGF2_S60_L001_R1_001.fastq.gz	19-12820WSGPYM2-1-IGF2_S60_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
180820_FB_SDR1	20-18820FBSDR1-IGF2_S61_L001_R1_001.fastq.gz	20-18820FBSDR1-IGF2_S61_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
180820_PY01	21-180820PY01-IGF2_S62_L001_R1_001.fastq.gz	21-180820PY01-IGF2_S62_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
290920_PY01	01-290520PY01-IGF2_S64_L001_R1_001.fastq.gz	01-290520PY01-IGF2_S64_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
160620_MG_SDR1	02-16620MGSDR1-IGF2_S65_L001_R1_001.fastq.gz	02-16620MGSDR1-IGF2_S65_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
13320_MB_SDR1	03-13320-MB-SDR1-IGF2_S66_L001_R1_001.fastq.gz	03-13320-MB-SDR1-IGF2_S66_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
17320_FR_SDR1	04-17320-FR-SDR1-IGF2_S67_L001_R1_001.fastq.gz	04-17320-FR-SDR1-IGF2_S67_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
19320_MR_WSG1	05-19320-MR-WSG1-IGF2_S68_L001_R1_001.fastq.gz	05-19320-MR-WSG1-IGF2_S68_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
280520_PY01	06-280520PY01-IGF2_S69_L001_R1_001.fastq.gz	06-280520PY01-IGF2_S69_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
250620_PY01	07-25620MGWSG1-1-IGF2_S70_L001_R1_001.fastq.gz	07-25620MGWSG1-1-IGF2_S70_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
120320_MB_SDR2	08-12320-MB-SDR2-IGF2_S71_L001_R1_001.fastq.gz	08-12320-MB-SDR2-IGF2_S71_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
150720_MG_BB2	09-15720MGBB2-IGF2_S72_L001_R1_001.fastq.gz	09-15720MGBB2-IGF2_S72_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
250620_FG_WSG1	10-25620FGWSG1-IGF2_S73_L001_R1_001.fastq.gz	10-25620FGWSG1-IGF2_S73_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
100620_MG_BB1	11-10620MGBB1-IGF2_S74_L001_R1_001.fastq.gz	11-10620MGBB1-IGF2_S74_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
120320_MR_SDR1	12-12320-MR-SDR1-IGF2_S75_L001_R1_001.fastq.gz	12-12320-MR-SDR1-IGF2_S75_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
180320_MG_WSG1	13-18320-MG-WSG1-IGF2_S76_L001_R1_001.fastq.gz	13-18320-MG-WSG1-IGF2_S76_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
100720_MG_SDR1	14-10720MGSDR1-IGF2_S77_L001_R1_001.fastq.gz	14-10720MGSDR1-IGF2_S77_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
100720__MGSDR2	15-10720MGSDR2-IGF2_S78_L001_R1_001.fastq.gz	15-10720MGSDR2-IGF2_S78_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
210720_MG_WSG1	16-21720MGWSG1-IGF2_S79_L001_R1_001.fastq.gz	16-21720MGWSG1-IGF2_S79_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
110820_FG_WSG1	17-110820FGWSG1-IGF2_S80_L001_R1_001.fastq.gz	17-110820FGWSG1-IGF2_S80_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
120820_MG_WSG1	18-12820MGWSG1-IGF2_S81_L001_R1_001.fastq.gz	18-12820MGWSG1-IGF2_S81_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
130820_MG_WSG1	19-13820MG-WSG1-IGF2_S82_L001_R1_001.fastq.gz	19-13820MG-WSG1-IGF2_S82_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
190820_MB_SDR1	20-19820MBSDR1-IGF2_S83_L001_R1_001.fastq.gz	20-19820MBSDR1-IGF2_S83_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
030920_MB_SDR1	21-3920MBSDR1-IGF2_S84_L001_R1_001.fastq.gz	21-3920MBSDR1-IGF2_S84_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
100920_PY01	22-100920PY01-IGF2_S85_L001_R1_001.fastq.gz	22-100920PY01-IGF2_S85_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
170920_FB_SDR1	23-17920FBSDRMary-IGF2_S86_L001_R1_001.fastq.gz	23-17920FBSDRMary-IGF2_S86_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
220920_PY01	24-22920FGPYRAVB1-IGF2_S87_L001_R1_001.fastq.gz	24-22920FGPYRAVB1-IGF2_S87_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
290920_PY01	25-290920PY01-IGF2_S88_L001_R2_001.fastq.gz	25-290920PY01-IGF2_S88_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
121020_PY01	26-121020PY01-IGF2_S89_L001_R1_001.fastq.gz	26-121020PY01-IGF2_S89_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
150121_PY01	27-150121PY01-IGF2_S90_L001_R1_001.fastq.gz	27-150121PY01-IGF2_S90_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
090421_PY01	28-090421PY01-IGF2_S91_L001_R1_001.fastq.gz	28-090421PY01-IGF2_S91_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
090421_PY02	29-090421PY02-IGF2_S92_L001_R1_001.fastq.gz	29-090421PY02-IGF2_S92_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
090421M_B_SDR1	30-9421MBSDR1-IGF2_S93_L001_R1_001.fastq.gz	30-9421MBSDR1-IGF2_S93_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
140421_PY03	31-140421PY03-IGF2_S94_L001_R1_001.fastq.gz	31-140421PY03-IGF2_S94_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
140421_PY02	32-140421PY02-IGF2_S95_L001_R1_001.fastq.gz	32-140421PY02-IGF2_S95_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
140421_MG_WSG1	33-14421MGWSG1-IGF2_S96_L001_R1_001.fastq.gz	33-14421MGWSG1-IGF2_S96_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
200421_MB_SDR1	34-20421MBSDR1-IGF2_S97_L001_R1_001.fastq.gz	34-20421MBSDR1-IGF2_S97_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
040521_MB_SDR1	35-4521MBSDR1-IGF2_S98_L001_R1_001.fastq.gz	35-4521MBSDR1-IGF2_S98_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
050521_PY02	36-050521PY02-IGF2_S99_L001_R1_001.fastq.gz	36-050521PY02-IGF2_S99_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
070521_PY01	37-070521PY01-IGF2_S100_L001_R1_001.fastq.gz	37-070521PY01-IGF2_S100_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
180521_MG_PF3	38-18521MGPF3-IGF2_S101_L001_R1_001.fastq.gz	38-18521MGPF3-IGF2_S101_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
180521_MG_PF1	39-18521MGPF1-IGF2_S102_L001_R1_001.fastq.gz	39-18521MGPF1-IGF2_S102_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
180521_FG_PF2	40-18521FGPF2-IGF2_S103_L001_R1_001.fastq.gz	40-18521FGPF2-IGF2_S103_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
200521_MR_PF2	41-20521MRPig2-IGF2_S104_L001_R1_001.fastq.gz	41-20521MRPig2-IGF2_S104_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
250521_MG_PF1	42-25521MGPig1-IGF2_S105_L001_R1_001.fastq.gz	42-25521MGPig1-IGF2_S105_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
030621_MR_PF1	43-3621MRPig1-IGF2_S106_L001_R1_001.fastq.gz	43-3621MRPig1-IGF2_S106_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
090621_MG_Cors	44-9621MGJohn1-IGF2_S107_L001_R1_001.fastq.gz	44-9621MGJohn1-IGF2_S107_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
090621_MG_PF1	45-9621MGPig1-IGF2_S108_L001_R1_001.fastq.gz	45-9621MGPig1-IGF2_S108_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
240621_PY01	46-240621PY01-IGF2_S109_L001_R1_001.fastq.gz	46-240621PY01-IGF2_S109_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
300621_PY01	47-300621PY01-IGF2_S110_L001_R1_001.fastq.gz	47-300621PY01-IGF2_S110_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
020721_PY01	48-020721PY01-IGF2_S111_L001_R1_001.fastq.gz	48-020721PY01-IGF2_S111_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
020721_PY02	49-020721PY02-IGF2_S112_L001_R1_001.fastq.gz	49-020721PY02-IGF2_S112_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
020721_PY03	50-020721PY03-IGF2_S113_L001_R1_001.fastq.gz	50-020721PY03-IGF2_S113_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
080721_PY01	51-080721PY01-IGF2_S114_L001_R1_001.fastq.gz	51-080721PY01-IGF2_S114_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
110721_MR_Cors	52-11721MRJohn-IGF2_S115_L001_R1_001.fastq.gz	52-11721MRJohn-IGF2_S115_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
110721_M_Rav	53-Young-male66-IGF2_S116_L001_R1_001.fastq.gz	53-Young-male66-IGF2_S116_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
210721_PY01	54-210721PY01-IGF2_S117_L001_R1_001.fastq.gz	54-210721PY01-IGF2_S117_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
210721_PY02	55-210721PY02-IGF2_S118_L001_R1_001.fastq.gz	55-210721PY02-IGF2_S118_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
120621_Becks	56-12621BH-001-IGF2_S119_L001_R1_001.fastq.gz	56-12621BH-001-IGF2_S119_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
190521PY01	57-190521PY01-IGF2_S120_L001_R1_001.fastq.gz	57-190521PY01-IGF2_S120_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
190521PY02	58-190521PY02-IGF2_S121_L001_R1_001.fastq.gz	58-190521PY02-IGF2_S121_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
190521PY03	59-190521PY03-IGF2_S122_L001_R1_001.fastq.gz	59-190521PY03-IGF2_S122_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
190521PY04	60-190521PY04-IGF2_S123_L001_R1_001.fastq.gz	60-190521PY04-IGF2_S123_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
210521PY01	61-210521PY01-IGF2_S124_L001_R1_001.fastq.gz	61-210521PY01-IGF2_S124_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
250521PY01	62-250521PY01-IGF2_S125_L001_R1_001.fastq.gz	62-250521PY01-IGF2_S125_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
270521PY01	63-270521PY01-IGF2_S126_L001_R1_001.fastq.gz	63-270521PY01-IGF2_S126_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
090621PY01	64-090621PY01-IGF2_S127_L001_R1_001.fastq.gz	64-090621PY01-IGF2_S127_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
180621PY01	65-180621PY01-IGF2_S128_L001_R1_001.fastq.gz	65-180621PY01-IGF2_S128_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
250621PY01	66-250621PY01-IGF2_S129_L001_R1_001.fastq.gz	66-250621PY01-IGF2_S129_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
250621PY02	67-250621PY02-IGF2_S130_L001_R1_001.fastq.gz	67-250621PY02-IGF2_S130_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
Sandy	Sandy2-IGF2_S133_L001_R1_001.fastq.gz	Sandy2-IGF2_S133_L001_R2_001.fastq.gz	IGF2_chrUn_JAANDE010000037v1:11210-11406
No_template_control_1	NTC-IGF2_S134_L001_R1_001.fastq.gz	NTC-IGF2_S134_L001_R2_001.fastq.gz	
